[RoCC 0]: node0.cpu0:rocc: numArrays: 64, arrayInputSize: 128, arrayOutputSize: 128 
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
pid=100 tid=100 has exited
all process have exited
 node0.cpu0:decoder0:branch_unit.branch_cache_hit.1 : Accumulator : Sum.u64 = 8965079; SumSQ.u64 = 8965079; Count.u64 = 8965079; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0:branch_unit.branch_cache_miss.1 : Accumulator : Sum.u64 = 15822; SumSQ.u64 = 15822; Count.u64 = 15822; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0:branch_unit.branch_cache_castout.1 : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 node0.cpu0:decoder0.uop_cache_hit.1 : Accumulator : Sum.u64 = 3800787920; SumSQ.u64 = 3800787920; Count.u64 = 3800787920; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0.predecode_cache_hit.1 : Accumulator : Sum.u64 = 101813; SumSQ.u64 = 101813; Count.u64 = 101813; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0.predecode_cache_miss.1 : Accumulator : Sum.u64 = 2336560; SumSQ.u64 = 2336560; Count.u64 = 2336560; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0.uops_generated.1 : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 node0.cpu0:decoder0.decode_faults.1 : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 node0.cpu0:decoder0.ins_bytes_loaded.1 : Accumulator : Sum.u64 = 9346240; SumSQ.u64 = 37384960; Count.u64 = 2336560; Min.u64 = 4; Max.u64 = 4; 
 node0.cpu0:decoder0.uop_delayed_rob_full.1 : Accumulator : Sum.u64 = 3728211166; SumSQ.u64 = 3728211166; Count.u64 = 3728211166; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.loads_issued.1 : Accumulator : Sum.u64 = 13896970; SumSQ.u64 = 13896970; Count.u64 = 13896970; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.stores_issued.1 : Accumulator : Sum.u64 = 4918632; SumSQ.u64 = 4918632; Count.u64 = 4918632; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.bytes_read.1 : Accumulator : Sum.u64 = 63497002; SumSQ.u64 = 318314932; Count.u64 = 13894256; Min.u64 = 1; Max.u64 = 8; 
 node0.cpu0:lsq.bytes_stored.1 : Accumulator : Sum.u64 = 19903016; SumSQ.u64 = 81593768; Count.u64 = 4916168; Min.u64 = 1; Max.u64 = 8; 
 node0.cpu0:lsq.fences_issued.1 : Accumulator : Sum.u64 = 1293; SumSQ.u64 = 1293; Count.u64 = 1293; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.loads_executed.1 : Accumulator : Sum.u64 = 13829513; SumSQ.u64 = 13829513; Count.u64 = 13829513; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.stores_executed.1 : Accumulator : Sum.u64 = 4915866; SumSQ.u64 = 4915866; Count.u64 = 4915866; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.fences_executed.1 : Accumulator : Sum.u64 = 1227; SumSQ.u64 = 1227; Count.u64 = 1227; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.store_buffer_entries.1 : Accumulator : Sum.u64 = 4600391; SumSQ.u64 = 6923689; Count.u64 = 317130322; Min.u64 = 0; Max.u64 = 16; 
 node0.cpu0:lsq.stores_in_flight.1 : Accumulator : Sum.u64 = 464533116; SumSQ.u64 = 34189270912; Count.u64 = 317130322; Min.u64 = 0; Max.u64 = 671; 
 node0.cpu0:lsq.loads_in_flight.1 : Accumulator : Sum.u64 = 293461418; SumSQ.u64 = 562991976; Count.u64 = 317130322; Min.u64 = 0; Max.u64 = 14; 
 node0.cpu0:lsq.operations_pending : Accumulator : Sum.u64 = 19534265; SumSQ.u64 = 28316029; Count.u64 = 317130322; Min.u64 = 0; Max.u64 = 15; 
 node0.cpu0:rocc.roccs_issued.1 : Accumulator : Sum.u64 = 4096; SumSQ.u64 = 4096; Count.u64 = 4096; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0.instructions_retired.1 : Accumulator : Sum.u64 = 51467375; SumSQ.u64 = 62453713; Count.u64 = 317130322; Min.u64 = 0; Max.u64 = 8; 
 node0.cpu0.instructions_decoded.1 : Accumulator : Sum.u64 = 72592309; SumSQ.u64 = 320620949; Count.u64 = 317130322; Min.u64 = 0; Max.u64 = 24; 
 node0.cpu0.instructions_issued.1 : Accumulator : Sum.u64 = 52078083; SumSQ.u64 = 65423139; Count.u64 = 317130322; Min.u64 = 0; Max.u64 = 12; 
 node0.cpu0.loads_issued.1 : Accumulator : Sum.u64 = 13896970; SumSQ.u64 = 13896970; Count.u64 = 13896970; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0.stores_issued.1 : Accumulator : Sum.u64 = 4918632; SumSQ.u64 = 4918632; Count.u64 = 4918632; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0.branch_mispredicts.1 : Accumulator : Sum.u64 = 49272; SumSQ.u64 = 49272; Count.u64 = 49272; Min.u64 = 1; Max.u64 = 1; 
