[RoCC 0]: node0.cpu0:rocc: numArrays: 64, arrayInputSize: 128, arrayOutputSize: 128 
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
Warning: VANADIS_SYSCALL_RISCV_RT_SIGPROCMASK not implemented returning success
pid=100 tid=100 has exited
all process have exited
 node0.cpu0:decoder0:branch_unit.branch_cache_hit.1 : Accumulator : Sum.u64 = 6508703; SumSQ.u64 = 6508703; Count.u64 = 6508703; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0:branch_unit.branch_cache_miss.1 : Accumulator : Sum.u64 = 6958; SumSQ.u64 = 6958; Count.u64 = 6958; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0:branch_unit.branch_cache_castout.1 : Accumulator : Sum.u64 = 1066; SumSQ.u64 = 1066; Count.u64 = 1066; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0.uop_cache_hit.1 : Accumulator : Sum.u64 = 1169455097; SumSQ.u64 = 1169455097; Count.u64 = 1169455097; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0.predecode_cache_hit.1 : Accumulator : Sum.u64 = 73271; SumSQ.u64 = 73271; Count.u64 = 73271; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0.predecode_cache_miss.1 : Accumulator : Sum.u64 = 660549; SumSQ.u64 = 660549; Count.u64 = 660549; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:decoder0.uops_generated.1 : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 node0.cpu0:decoder0.decode_faults.1 : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 node0.cpu0:decoder0.ins_bytes_loaded.1 : Accumulator : Sum.u64 = 2642196; SumSQ.u64 = 10568784; Count.u64 = 660549; Min.u64 = 4; Max.u64 = 4; 
 node0.cpu0:decoder0.uop_delayed_rob_full.1 : Accumulator : Sum.u64 = 1116891569; SumSQ.u64 = 1116891569; Count.u64 = 1116891569; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.loads_issued.1 : Accumulator : Sum.u64 = 12340982; SumSQ.u64 = 12340982; Count.u64 = 12340982; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.stores_issued.1 : Accumulator : Sum.u64 = 4589729; SumSQ.u64 = 4589729; Count.u64 = 4589729; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.bytes_read.1 : Accumulator : Sum.u64 = 55564424; SumSQ.u64 = 272872414; Count.u64 = 12339279; Min.u64 = 1; Max.u64 = 8; 
 node0.cpu0:lsq.bytes_stored.1 : Accumulator : Sum.u64 = 18520392; SumSQ.u64 = 75506042; Count.u64 = 4587533; Min.u64 = 1; Max.u64 = 8; 
 node0.cpu0:lsq.fences_issued.1 : Accumulator : Sum.u64 = 1044; SumSQ.u64 = 1044; Count.u64 = 1044; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.loads_executed.1 : Accumulator : Sum.u64 = 12280943; SumSQ.u64 = 12280943; Count.u64 = 12280943; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.stores_executed.1 : Accumulator : Sum.u64 = 4587284; SumSQ.u64 = 4587284; Count.u64 = 4587284; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.fences_executed.1 : Accumulator : Sum.u64 = 974; SumSQ.u64 = 974; Count.u64 = 974; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0:lsq.store_buffer_entries.1 : Accumulator : Sum.u64 = 4508647; SumSQ.u64 = 6579387; Count.u64 = 292712578; Min.u64 = 0; Max.u64 = 8; 
 node0.cpu0:lsq.stores_in_flight.1 : Accumulator : Sum.u64 = 460065766; SumSQ.u64 = 34141472422; Count.u64 = 292712578; Min.u64 = 0; Max.u64 = 681; 
 node0.cpu0:lsq.loads_in_flight.1 : Accumulator : Sum.u64 = 262539498; SumSQ.u64 = 491196444; Count.u64 = 292712578; Min.u64 = 0; Max.u64 = 14; 
 node0.cpu0:lsq.operations_pending : Accumulator : Sum.u64 = 17008984; SumSQ.u64 = 21021442; Count.u64 = 292712578; Min.u64 = 0; Max.u64 = 12; 
 node0.cpu0:rocc.roccs_issued.1 : Accumulator : Sum.u64 = 2176; SumSQ.u64 = 2176; Count.u64 = 2176; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0.instructions_retired.1 : Accumulator : Sum.u64 = 49825676; SumSQ.u64 = 60906850; Count.u64 = 292712578; Min.u64 = 0; Max.u64 = 2; 
 node0.cpu0.instructions_decoded.1 : Accumulator : Sum.u64 = 52566803; SumSQ.u64 = 72227511; Count.u64 = 292712578; Min.u64 = 0; Max.u64 = 11; 
 node0.cpu0.instructions_issued.1 : Accumulator : Sum.u64 = 50133213; SumSQ.u64 = 59408761; Count.u64 = 292712578; Min.u64 = 0; Max.u64 = 2; 
 node0.cpu0.loads_issued.1 : Accumulator : Sum.u64 = 12340982; SumSQ.u64 = 12340982; Count.u64 = 12340982; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0.stores_issued.1 : Accumulator : Sum.u64 = 4589729; SumSQ.u64 = 4589729; Count.u64 = 4589729; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0.branch_mispredicts.1 : Accumulator : Sum.u64 = 47237; SumSQ.u64 = 47237; Count.u64 = 47237; Min.u64 = 1; Max.u64 = 1; 
 node0.cpu0.branches.1 : Accumulator : Sum.u64 = 6019442; SumSQ.u64 = 6019442; Count.u64 = 6019442; Min.u64 = 1; Max.u64 = 1; 
